,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Guerrero Negro,MX,27.9769,-114.0611,77.97,53,3,5.59,clear sky
212,La Ronge,CA,55.1001,-105.2842,46.65,66,75,3.44,smoke
213,Mao,ES,39.8885,4.2658,72.16,88,20,3.44,few clouds
214,Lebu,CL,-37.6167,-73.65,56.1,76,72,6.62,broken clouds
215,Evensk,RU,61.95,159.2333,15.1,76,100,11.23,overcast clouds
216,Bokaa,BW,-24.45,26.0167,84.69,32,40,4.61,scattered clouds
217,Hambantota,LK,6.1241,81.1185,79.99,78,98,15.75,overcast clouds
218,Leningradskiy,RU,69.3833,178.4167,27.77,88,100,24.0,overcast clouds
219,Matamoros,MX,25.5333,-103.25,60.12,54,77,5.23,broken clouds
220,Roma,US,43.2128,-75.4557,48.96,63,74,10.0,broken clouds
221,Saint-Francois,FR,46.4154,3.9054,67.44,73,0,3.44,clear sky
222,Port Hedland,AU,-20.3167,118.5667,71.65,56,0,5.75,clear sky
223,Vanavara,RU,60.34,102.2797,29.89,83,100,5.14,overcast clouds
224,Mahebourg,MU,-20.4081,57.7,71.89,73,75,9.22,broken clouds
225,Sitka,US,57.0531,-135.33,52.3,93,100,18.77,light rain
226,Belmonte,BR,-15.8631,-38.8828,80.06,62,23,7.58,few clouds
227,Yumen,CN,40.2833,97.2,50.18,16,88,4.25,overcast clouds
228,Tromso,NO,69.6496,18.957,41.02,81,75,8.05,broken clouds
229,Caravelas,BR,-17.7125,-39.2481,81.37,60,46,10.42,scattered clouds
230,Norman Wells,CA,65.282,-126.8329,30.24,100,100,9.22,fog
231,Rio Grande,BR,-32.035,-52.0986,73.51,79,26,11.79,scattered clouds
232,Bambous Virieux,MU,-20.3428,57.7575,71.85,73,75,9.22,broken clouds
233,Lima,PE,-12.0432,-77.0282,68.9,68,100,6.91,overcast clouds
234,Pacific Grove,US,36.6177,-121.9166,84.42,45,80,3.0,broken clouds
235,Hamilton,US,39.1834,-84.5333,51.75,58,61,5.01,broken clouds
236,Porto Novo,BJ,6.4965,2.6036,85.82,77,65,9.66,light rain
237,North Bend,US,43.4065,-124.2243,51.71,100,100,14.97,mist
238,Acapulco,MX,16.8634,-99.8901,80.44,81,100,3.0,overcast clouds
239,Praya,CV,14.9215,-23.5087,88.34,62,20,10.36,few clouds
240,Voi,KE,-3.3945,38.563,73.26,65,80,12.33,broken clouds
241,Mattru,SL,7.6244,-11.8332,79.59,89,62,5.26,moderate rain
242,Popondetta,PG,-8.7537,148.2534,72.61,96,100,2.93,overcast clouds
243,Coquimbo,CL,-29.9533,-71.3436,62.33,63,20,12.66,few clouds
244,Beringovskiy,RU,63.05,179.3167,36.7,83,55,5.61,broken clouds
245,Mehamn,NO,71.0357,27.8492,39.11,75,75,25.32,light snow
246,Olinda,BR,-8.0089,-34.8553,83.93,61,40,13.8,scattered clouds
247,Trapani,IT,37.8333,12.6667,69.24,72,9,8.39,clear sky
248,Iisalmi,FI,63.5592,27.1907,34.03,94,99,5.57,overcast clouds
249,Lorengau,PG,-2.0226,147.2712,80.73,73,97,6.82,overcast clouds
250,Trofors,NO,65.5333,13.4063,42.67,95,100,6.51,overcast clouds
251,San Patricio,US,28.017,-97.5169,66.18,25,2,8.97,clear sky
252,Alcaniz,ES,41.05,-0.1333,77.14,55,100,7.96,overcast clouds
253,Dharchula,IN,29.85,80.5333,56.03,74,39,5.73,scattered clouds
254,Spartanburg,US,34.9496,-81.9321,56.59,34,0,6.91,clear sky
255,Meadow Lake,US,34.8014,-106.5436,63.43,67,0,3.65,clear sky
256,Bonthe,SL,7.5264,-12.505,80.19,80,39,8.01,moderate rain
257,Alice Springs,AU,-23.7,133.8833,60.35,77,0,3.44,clear sky
258,Pangody,RU,65.85,74.4859,36.39,93,100,17.74,overcast clouds
259,Mitu,CO,1.1983,-70.1733,85.15,74,76,3.47,broken clouds
260,Rio Gallegos,AR,-51.6226,-69.2181,53.65,37,40,10.36,scattered clouds
261,Saquarema,BR,-22.92,-42.5103,78.94,83,97,6.58,light rain
262,Casas Grandes,MX,30.3667,-107.95,57.43,72,27,6.67,scattered clouds
263,Innisfail,AU,-17.5333,146.0333,76.14,85,93,2.59,overcast clouds
264,Taoudenni,ML,22.6783,-3.9836,94.75,12,100,3.4,overcast clouds
265,Kargasok,RU,59.0556,80.8572,40.14,88,100,11.7,overcast clouds
266,Gainesville,US,29.6516,-82.3248,61.07,41,35,1.99,scattered clouds
267,Tsiroanomandidy,MG,-18.7667,46.0333,74.55,61,28,7.45,light rain
268,Maningrida,AU,-12.0667,134.2667,80.85,77,99,3.06,overcast clouds
269,Lasa,IT,46.6166,10.7002,51.69,71,7,1.03,clear sky
270,Paciran,ID,-6.8767,112.3761,80.38,80,100,1.97,light rain
271,Chokurdakh,RU,70.6333,147.9167,-7.74,100,100,2.68,overcast clouds
272,Camana,PE,-16.6228,-72.7111,66.58,72,40,9.57,scattered clouds
273,Dingle,PH,10.9995,122.6711,76.39,90,99,1.9,overcast clouds
274,Champerico,GT,14.3,-91.9167,83.59,75,37,16.84,scattered clouds
275,Aklavik,CA,68.2191,-135.0107,25.95,96,100,6.17,overcast clouds
276,Yanai,JP,33.9667,132.1167,55.18,70,0,7.47,clear sky
277,Ust-Barguzin,RU,53.45,108.9833,33.51,87,35,4.07,scattered clouds
278,Paamiut,GL,61.994,-49.6678,34.27,82,100,24.74,light snow
279,Oksfjord,NO,70.2396,22.3479,39.38,91,100,14.54,light rain
280,Brasilia De Minas,BR,-16.2064,-44.4333,95.5,17,15,5.26,few clouds
281,Marsabit,KE,2.3284,37.9899,73.65,44,84,17.69,broken clouds
282,Ust-Nera,RU,64.5667,143.2,-5.75,100,71,3.87,broken clouds
283,Tangjiazhuang,CN,39.7333,118.45,53.04,49,0,4.99,clear sky
284,Haines Junction,CA,60.7522,-137.5108,38.28,93,94,3.47,overcast clouds
285,Lensk,RU,60.7253,114.9278,29.08,86,100,10.02,overcast clouds
286,Glogow,PL,51.6636,16.0845,49.46,78,41,5.48,scattered clouds
287,Besancon,FR,47.2488,6.0182,67.14,84,78,3.42,broken clouds
288,Buraydah,SA,26.326,43.975,81.16,12,7,4.83,clear sky
289,Loandjili,CG,-4.7561,11.8578,78.1,79,51,9.22,broken clouds
290,Aktau,KZ,43.65,51.2,57.78,67,58,21.88,broken clouds
291,Katsuura,JP,35.1333,140.3,59.54,68,78,17.2,broken clouds
292,Shimoda,JP,34.6667,138.95,57.11,71,53,14.27,broken clouds
293,Bilibino,RU,68.0546,166.4372,16.65,90,100,8.81,overcast clouds
294,Whitecourt,CA,54.1502,-115.6855,56.37,41,72,3.11,broken clouds
295,Mahibadhoo,MV,3.7833,72.9667,81.95,75,100,14.47,overcast clouds
296,Piracanjuba,BR,-17.3028,-49.0167,96.66,19,48,4.85,scattered clouds
297,Menongue,AO,-14.6585,17.691,77.94,34,72,4.5,broken clouds
298,Anadyr,RU,64.75,177.4833,34.02,95,100,10.74,overcast clouds
299,Torzhok,RU,57.0436,34.9622,42.24,87,100,5.44,overcast clouds
300,Athabasca,CA,54.7169,-113.2854,58.51,32,63,9.91,broken clouds
301,Estelle,US,29.8458,-90.1067,60.01,38,0,5.01,clear sky
302,Arlit,NE,18.7369,7.3853,88.99,14,0,3.44,clear sky
303,Limburg,NL,51.25,6.0,58.28,78,100,8.32,overcast clouds
304,Najran,SA,17.4924,44.1277,73.09,19,16,6.58,few clouds
305,Severo-Kurilsk,RU,50.6789,156.125,39.51,70,84,32.86,light rain
306,Ocos,GT,14.5094,-92.1933,83.48,75,32,17.45,scattered clouds
307,Havre-Saint-Pierre,CA,50.2334,-63.5986,51.87,93,99,26.35,overcast clouds
308,Zhezkazgan,KZ,47.8043,67.7144,49.51,49,100,23.47,overcast clouds
309,Kirkwall,GB,58.9848,-2.9587,48.25,71,75,5.75,broken clouds
310,Egvekinot,RU,66.3167,-179.1667,28.02,97,100,22.35,snow
311,Schwandorf,DE,49.3262,12.1093,54.72,79,22,5.39,few clouds
312,Ambovombe,MG,-25.1667,46.0833,70.11,83,12,20.42,few clouds
313,Kropotkin,RU,45.4375,40.5756,61.41,58,0,4.79,clear sky
314,Souillac,MU,-20.5167,57.5167,71.06,73,85,11.18,overcast clouds
315,Punta Cardon,VE,11.6581,-70.215,87.1,63,2,18.81,clear sky
316,Sarkand,KZ,45.41,79.9186,45.36,69,100,6.22,overcast clouds
317,Ketchikan,US,55.3422,-131.6461,52.09,84,100,15.82,light rain
318,Prachuap Khiri Khan,TH,12.2167,99.75,72.95,81,100,3.98,overcast clouds
319,Torbay,CA,47.6666,-52.7314,62.76,88,75,10.36,broken clouds
320,Tacuarembo,UY,-31.7333,-55.9833,76.96,58,81,11.48,broken clouds
321,Meulaboh,ID,4.1363,96.1285,75.99,88,100,2.26,overcast clouds
322,Ciudad Bolivar,VE,8.1222,-63.5497,93.43,44,65,8.77,broken clouds
323,Marabba,SD,12.35,32.1833,89.46,42,61,10.85,light rain
324,Hobyo,SO,5.3505,48.5268,78.87,80,55,17.58,broken clouds
325,Sao Filipe,CV,14.8961,-24.4956,80.42,79,52,8.55,broken clouds
326,Makinsk,KZ,52.6292,70.4169,37.83,95,100,16.51,light rain
327,Podyuga,RU,61.095,40.8647,37.49,80,56,4.99,broken clouds
328,Belyy Yar,RU,53.6039,91.3903,39.09,80,0,0.0,clear sky
329,Gwadar,PK,25.1216,62.3254,81.79,60,66,8.28,broken clouds
330,Kawalu,ID,-7.3817,108.2082,72.72,98,100,1.39,overcast clouds
331,Ulladulla,AU,-35.35,150.4667,61.7,90,100,4.05,overcast clouds
332,Bathsheba,BB,13.2167,-59.5167,83.88,74,29,13.15,light rain
333,Rosarito,MX,32.3333,-117.0333,87.08,37,46,8.72,scattered clouds
334,Skjervoy,NO,70.0311,20.9714,42.8,75,100,17.38,overcast clouds
335,Cururupu,BR,-1.8283,-44.8683,89.58,52,88,9.17,overcast clouds
336,Olenino,RU,56.2092,33.4889,43.05,90,100,12.33,moderate rain
337,Hami,CN,42.8,93.45,52.75,43,57,9.84,broken clouds
338,Kodiak,US,57.79,-152.4072,40.32,81,91,3.89,overcast clouds
339,Geraldton,AU,-28.7667,114.6,61.21,88,40,6.91,scattered clouds
340,Sioux Lookout,CA,50.1001,-91.917,38.5,41,87,5.57,overcast clouds
341,Lunca De Jos,RO,46.5667,25.9833,44.29,90,66,2.35,broken clouds
342,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.53,76,63,19.55,broken clouds
343,Nur,PL,52.6683,22.3221,44.98,72,47,13.38,scattered clouds
344,Russell,US,32.3502,-85.1999,58.15,29,0,13.8,clear sky
345,Pucallpa,PE,-8.3791,-74.5539,96.31,39,100,1.48,overcast clouds
346,Santa Maria,BR,-29.6842,-53.8069,77.97,57,54,7.99,broken clouds
